county,state2,avg_zip_match_by_county,avg_in_urban_by_county,avg_parcels_prop_by_county,prop_count,avg_area_acres
daniels,MT,0.509,0.0,5.212,2963644,787.977
dawson,MT,0.762,0.599,2.499,1457709,1119.557
deer-lodge,MT,0.688,0.576,1.669,469948,3207.541
fallon,MT,0.673,0.0,3.742,2192502,1162.49
fergus,MT,0.685,0.386,3.935,9605703,1290.996
flathead,MT,0.508,0.339,1.46,1118005,1962.084
gallatin,MT,0.729,0.501,1.558,1657299,5537.617
garfield,MT,0.386,0.0,10.408,10213232,1313.803
glacier,MT,0.587,0.0,4.656,960303,9691.665
golden-valley,MT,0.458,0.0,4.048,542043,1224.951
granite,MT,0.363,0.0,2.532,1367494,3880.401
hill,MT,0.767,0.559,2.948,484772,1778.217
jefferson,MT,0.676,0.0,2.091,3049049,2161.321
judith-basin,MT,0.488,0.0,4.886,1995560,1167.968
lake,MT,0.579,0.16,1.744,716586,3545.904
lewis-and-clark,MT,0.752,0.574,1.602,4079171,3446.324
liberty,MT,0.535,0.0,5.386,558830,777.858
lincoln,MT,0.609,0.131,1.979,956013,19619.064
madison,MT,0.399,0.0,2.512,5350421,2932.706
mccone,MT,0.506,0.0,6.146,5013343,1264.704
meagher,MT,0.417,0.0,3.817,1260371,2425.335
mineral,MT,0.576,0.0,2.144,346454,5317.659
missoula,MT,0.759,0.643,1.537,1270026,3128.424
musselshell,MT,0.613,0.0,2.736,230140,927.083
park,MT,0.627,0.393,1.954,1005029,10683.787
petroleum,MT,0.338,0.0,9.008,5859863,1321.999
phillips,MT,0.582,0.0,7.256,20018547,1276.337
pondera,MT,0.633,0.0,3.643,1226736,2083.454
powder-river,MT,0.57,0.0,8.637,2532113,1210.17
powell,MT,0.571,0.0,2.651,1476566,4869.31
prairie,MT,0.565,0.0,5.032,5770548,1279.968
ravalli,MT,0.766,0.118,1.676,350493,21105.629
richland,MT,0.741,0.462,2.713,1751728,1278.876
roosevelt,MT,0.558,0.0,4.405,1694938,1271.031
rosebud,MT,0.636,0.0,4.294,4175966,1398.271
sanders,MT,0.576,0.0,2.1,765206,10043.419
sheridan,MT,0.516,0.0,3.77,1373470,1001.98
silver-bow,MT,0.775,0.79,1.73,877049,2468.205
stillwater,MT,0.601,0.0,2.077,502965,4944.141
sweet-grass,MT,0.632,0.0,3.008,187597,14875.199
teton,MT,0.645,0.0,3.574,2996919,1757.154
toole,MT,0.553,0.0,4.262,942398,637.571
treasure,MT,0.444,0.0,4.28,372324,1245.536
valley,MT,0.543,0.0,5.122,18030624,1286.99
wheatland,MT,0.484,0.0,3.467,478198,1410.631
wibaux,MT,0.505,0.0,3.865,471288,1322.608
yellowstone,MT,0.844,0.783,1.539,1229328,964.536
bernalillo,NM,0.85,0.935,1.299,3524491,172.103
catron,NM,0.06,0.0,2.178,13651,81811.143
chaves,NM,0.729,0.68,1.739,442899,2687.454
cibola,NM,0.4,0.328,2.254,513474,3741.286
colfax,NM,0.177,0.141,1.291,112994,1487.584
curry,NM,0.814,0.797,1.756,145354,365.883
de-baca,NM,0.0,0.0,1.732,4164,2394.654
dona-ana,NM,0.733,0.722,1.448,959383,4143.526
eddy,NM,0.525,0.682,2.177,1073957,2104.676
grant,NM,0.226,0.376,1.483,298615,990.73
guadalupe,NM,0.3,0.0,1.705,28510,2651.379
harding,NM,0.326,0.0,1.434,2966,1461.196
hidalgo,NM,0.299,0.0,1.3,14386,505.524
lea,NM,0.632,0.584,1.728,286297,1011.572
lincoln,NM,0.172,0.377,1.298,108385,499.082
los-alamos,NM,0.926,0.921,1.211,34602,184.714
luna,NM,0.165,0.136,2.722,2453211,29.158
mckinley,NM,0.54,0.518,1.791,144679,4652.607
mora,NM,0.121,0.0,1.282,3887,2129.382
otero,NM,0.526,0.34,1.574,720807,601.891
