county,state2,avg_zip_match_by_county,avg_in_urban_by_county,avg_parcels_prop_by_county,prop_count,avg_area_acres
douglas,KS,0.828,0.771,1.446,225939,35.322
edwards,KS,0.605,0.0,2.724,76679,227.164
elk,KS,0.504,0.0,2.445,58220,240.501
ellis,KS,0.825,0.609,1.786,83517,91.828
ellsworth,KS,0.644,0.0,2.163,40667,221.658
finney,KS,0.86,0.697,1.719,89594,314.651
ford,KS,0.832,0.66,1.916,145131,146.055
franklin,KS,0.804,0.381,1.644,73946,128.775
geary,KS,0.827,0.795,1.676,78095,95.884
gove,KS,0.57,0.0,2.741,31087,302.874
graham,KS,0.457,0.0,2.633,40190,231.163
grant,KS,0.744,0.621,2.323,198866,237.528
gray,KS,0.671,0.0,2.883,117959,257.518
greeley,KS,0.449,0.0,3.239,62837,300.127
greenwood,KS,0.599,0.0,2.63,78053,339.359
hamilton,KS,0.461,0.0,3.258,45137,381.953
harper,KS,0.572,0.0,2.262,46675,177.47
harvey,KS,0.829,0.532,1.746,165165,57.297
haskell,KS,0.489,0.0,2.399,78707,567.453
hodgeman,KS,0.488,0.0,2.816,37921,290.603
jackson,KS,0.751,0.0,1.913,79472,206.284
jefferson,KS,0.729,0.007,1.87,122299,90.299
jewell,KS,0.486,0.0,2.965,51701,200.987
johnson,KS,0.852,0.924,1.327,5179821,12.025
kearny,KS,0.591,0.0,2.652,61225,359.38
kingman,KS,0.622,0.0,2.014,57590,176.291
kiowa,KS,0.52,0.0,3.03,40570,343.951
labette,KS,0.778,0.407,2.016,109153,120.297
lane,KS,0.471,0.0,2.837,26222,303.138
leavenworth,KS,0.867,0.541,1.412,252611,23.468
lincoln,KS,0.0,0.0,2.796,27907,147.729
linn,KS,0.349,0.0,1.962,101396,182.261
logan,KS,0.572,0.0,2.601,41616,366.949
lyon,KS,0.848,0.61,1.811,91406,110.647
marion,KS,0.701,0.0,2.21,82645,270.897
marshall,KS,0.733,0.0,2.188,74124,169.524
mcpherson,KS,0.816,0.365,1.762,121720,130.54
meade,KS,0.628,0.0,2.923,128232,377.798
miami,KS,0.802,0.199,1.459,102203,54.283
mitchell,KS,0.701,0.0,2.609,45552,198.671
montgomery,KS,0.787,0.501,1.837,144522,82.618
morris,KS,0.628,0.0,2.109,36983,237.933
morton,KS,0.531,0.0,3.49,199178,363.185
nemaha,KS,0.778,0.0,2.176,52958,136.597
neosho,KS,0.81,0.464,1.965,116872,233.147
ness,KS,0.502,0.0,2.842,63880,240.105
norton,KS,0.68,0.0,2.546,52992,230.419
osage,KS,0.71,0.0,1.774,59526,608.686
osborne,KS,0.578,0.0,2.9,64499,212.287
ottawa,KS,0.673,0.0,2.249,48597,181.984
pawnee,KS,0.607,0.465,2.257,46255,205.607
phillips,KS,0.683,0.0,2.663,48139,235.67
pottawatomie,KS,0.824,0.323,1.871,78084,197.172
pratt,KS,0.711,0.553,2.01,72431,237.689
rawlins,KS,0.526,0.0,3.265,36075,323.69
reno,KS,0.788,0.6,1.711,360417,126.409
republic,KS,0.58,0.0,2.595,78471,194.889
rice,KS,0.65,0.0,2.027,65836,143.517
riley,KS,0.755,0.766,1.667,360512,212.1
rooks,KS,0.598,0.0,2.468,51779,236.826
rush,KS,0.496,0.0,2.486,53417,191.808
russell,KS,0.579,0.394,1.969,53967,187.851
saline,KS,0.878,0.778,1.638,172314,53.171
scott,KS,0.751,0.0,2.529,40877,278.319
sedgwick,KS,0.868,0.896,1.586,2040969,23.023
seward,KS,0.809,0.799,1.751,67215,229.978
shawnee,KS,0.857,0.782,1.484,557638,33.659
sheridan,KS,0.546,0.0,2.545,33947,264.671
sherman,KS,0.681,0.56,2.498,78125,367.791
smith,KS,0.598,0.0,3.047,78491,216.441
stafford,KS,0.59,0.0,2.273,57908,257.324
stanton,KS,0.507,0.0,4.034,95665,336.8
stevens,KS,0.683,0.0,2.874,111844,262.355
sumner,KS,0.723,0.283,1.899,154178,136.018
thomas,KS,0.706,0.487,2.31,58968,234.664
trego,KS,0.552,0.0,2.479,24847,229.603
wabaunsee,KS,0.653,0.0,2.078,39404,271.364
wallace,KS,0.495,0.0,2.851,21111,485.494
washington,KS,0.618,0.0,2.606,52460,179.362
wichita,KS,0.553,0.0,2.702,64378,250.021
wilson,KS,0.686,0.0,2.407,58230,112.524
woodson,KS,0.565,0.0,2.399,43715,236.404
wyandotte,KS,0.731,0.926,1.208,68017,13.828
alcona,MI,0.002,0.083,1.473,81018,1901.218
alger,MI,0.444,0.0,1.806,808754,1484.613
allegan,MI,0.739,0.311,1.386,2306548,779.327
alpena,MI,0.0,0.406,1.202,22448,99.494
antrim,MI,0.396,0.0,1.641,848243,809.49
arenac,MI,0.53,0.191,1.548,53274,250.666
baraga,MI,0.452,0.0,2.044,1314371,1278.204
barry,MI,0.806,0.104,1.324,519767,723.457
bay,MI,0.845,0.667,1.33,850592,212.218
benzie,MI,0.466,0.177,1.501,957508,1363.169
berrien,MI,0.75,0.665,1.467,873777,300.275
branch,MI,0.787,0.204,1.391,48550,47.79
calhoun,MI,0.522,0.635,1.304,707793,134.562
cass,MI,0.727,0.198,1.554,285176,199.502
charlevoix,MI,0.495,0.28,1.602,613930,1005.27
cheboygan,MI,0.516,0.147,1.638,2093642,1106.113
