county,state2,avg_zip_match_by_county,avg_in_urban_by_county,avg_parcels_prop_by_county,prop_count,avg_area_acres
mclean,KY,0.666,0.0,1.385,7005,63.107
meade,KY,0.763,0.02,1.306,15901,228.672
menifee,KY,0.294,0.0,1.167,4557,65.464
mercer,KY,0.756,0.373,1.187,12215,25.667
metcalfe,KY,0.571,0.0,1.211,7403,40.628
monroe,KY,0.687,0.0,1.838,11143,99.227
montgomery,KY,0.814,0.438,1.194,12833,19.859
morgan,KY,0.496,0.0,1.159,9780,38.168
muhlenberg,KY,0.64,0.3,1.387,19877,45.613
nelson,KY,0.734,0.298,1.144,26834,23.845
nicholas,KY,0.596,0.0,1.18,5210,46.803
ohio,KY,0.646,0.16,1.543,19223,190.499
oldham,KY,0.813,0.724,1.106,27001,9.435
owen,KY,0.462,0.0,1.286,10935,65.929
owsley,KY,0.534,0.0,1.398,4343,225.256
pendleton,KY,0.727,0.0,1.325,8907,45.426
perry,KY,0.551,0.225,1.326,17016,226.305
pike,KY,0.522,0.096,1.274,41464,52.063
powell,KY,0.675,0.0,1.522,9086,38.441
pulaski,KY,0.0,0.368,1.263,46516,40.41
robertson,KY,0.0,0.0,1.0,1813,35.193
rockcastle,KY,0.577,0.0,1.393,13584,77.299
rowan,KY,0.651,0.231,1.148,12053,26.434
russell,KY,0.376,0.0,1.183,21644,15.331
scott,KY,0.87,0.597,1.207,25107,21.924
shelby,KY,0.808,0.391,1.265,21636,30.393
simpson,KY,0.691,0.521,1.248,11500,48.913
spencer,KY,0.825,0.0,1.288,10721,25.235
taylor,KY,0.0,0.388,1.247,14667,39.345
todd,KY,0.0,0.0,1.328,9095,65.274
trigg,KY,0.572,0.0,1.786,19037,50.329
trimble,KY,0.745,0.0,1.588,6461,70.389
union,KY,0.712,0.0,1.338,8844,101.439
warren,KY,0.59,0.527,1.185,59355,11.274
washington,KY,0.485,0.0,1.107,6984,43.278
wayne,KY,0.632,0.195,1.315,16151,47.458
webster,KY,0.693,0.0,1.779,12742,77.498
whitley,KY,0.648,0.301,1.173,16576,917.128
wolfe,KY,0.501,0.0,1.324,6129,76.991
woodford,KY,0.882,0.574,1.205,12192,29.404
acadia,LA,0.672,0.301,1.506,46050,40.577
allen,LA,0.607,0.187,1.316,17734,277.096
ascension,LA,0.663,0.852,1.114,57376,8.124
assumption,LA,0.688,0.34,1.3,12760,52.728
avoyelles,LA,0.62,0.129,1.69,37026,110.109
beauregard,LA,0.673,0.234,1.36,27430,589.127
bienville,LA,0.427,0.0,1.431,18511,13338.886
bossier,LA,0.599,0.575,2.341,91624,4752.686
caddo,LA,0.632,0.763,1.305,139594,35.219
calcasieu,LA,0.677,0.676,1.275,109599,45.718
caldwell,LA,0.549,0.0,1.439,9335,9009.031
cameron,LA,0.253,0.0,1.354,13175,1207.703
catahoula,LA,0.441,0.0,1.758,13768,3315.618
claiborne,LA,0.413,0.0,1.392,19043,88.5
concordia,LA,0.523,0.471,1.816,22167,534.022
de-soto,LA,0.525,0.143,2.028,41155,186.433
east-baton-rouge,LA,0.724,0.912,1.251,203556,13.176
east-carroll,LA,0.645,0.0,1.673,6584,302.75
east-feliciana,LA,0.59,0.0,1.517,16139,68.792
evangeline,LA,0.632,0.227,1.713,30310,581.253
franklin,LA,0.664,0.195,1.315,14584,116.039
grant,LA,0.562,0.0,1.657,19766,270.155
iberia,LA,0.691,0.599,1.432,42266,38.236
iberville,LA,0.704,0.431,1.253,17623,235.738
jackson,LA,0.565,0.244,1.219,12918,603.882
jefferson,LA,0.723,0.982,1.305,199725,4.629
jefferson-davis,LA,0.64,0.209,1.285,25965,73.273
la-salle,LA,0.603,0.0,1.617,13545,9949.713
lafayette,LA,0.746,0.881,1.239,116694,14.554
lafourche,LA,0.733,0.717,1.337,57140,72.456
lincoln,LA,0.591,0.426,1.318,27374,116.794
livingston,LA,0.734,0.558,1.384,82160,299.581
madison,LA,0.339,0.401,1.246,9959,548.269
morehouse,LA,0.648,0.434,1.365,20585,123.622
natchitoches,LA,0.574,0.286,1.386,29406,1751.93
orleans,LA,0.663,0.98,1.198,161984,5.595
ouachita,LA,0.675,0.687,1.481,91344,397.037
plaquemines,LA,0.395,0.329,1.127,18018,160.511
pointe-coupee,LA,0.601,0.305,1.458,17906,166.47
